# transcript_id	gene_id	transcript_biotype	number_of_samples_in_which_the_gene_is_expressed
ENST00000216034 ENSG00000100216 protein_coding 16
ENST00000216039 ENSG00000100221 protein_coding 16
ENST00000216064 ENSG00000100242 protein_coding 16
ENST00000216071 ENSG00000100249 protein_coding 5
ENST00000216115 ENSG00000100290 protein_coding 10
ENST00000216117 ENSG00000100292 protein_coding 16
ENST00000216127 ENSG00000100302 protein_coding 14
ENST00000216133 ENSG00000100307 protein_coding 16
ENST00000216144 ENSG00000100314 protein_coding 2
ENST00000216200 ENSG00000100362 protein_coding 2
ENST00000216211 ENSG00000100373 protein_coding 3
ENST00000216264 ENSG00000100422 protein_coding 16
ENST00000216268 ENSG00000100426 protein_coding 16
ENST00000216294 ENSG00000023608 protein_coding 16
ENST00000216373 ENSG00000100485 protein_coding 16
ENST00000216445 ENSG00000100557 protein_coding 4
ENST00000216468 ENSG00000100580 protein_coding 16
ENST00000216492 ENSG00000100604 protein_coding 1
ENST00000216540 ENSG00000100652 protein_coding 6
ENST00000216756 ENSG00000100865 protein_coding 15
ENST00000216832 ENSG00000100941 protein_coding 16
ENST00000216951 ENSG00000100983 protein_coding 16
ENST00000216962 ENSG00000100994 protein_coding 16
ENST00000217026 ENSG00000101057 protein_coding 7
ENST00000217043 ENSG00000101074 protein_coding 2
ENST00000217131 ENSG00000101160 protein_coding 16
ENST00000217133 ENSG00000101162 protein_coding 8
ENST00000217188 ENSG00000125508 protein_coding 7
ENST00000217233 ENSG00000101255 protein_coding 15
ENST00000217381 ENSG00000101400 protein_coding 16
ENST00000217386 ENSG00000101405 protein_coding 3
ENST00000217402 ENSG00000101421 protein_coding 16
ENST00000217407 ENSG00000129988 protein_coding 9
ENST00000217420 ENSG00000101438 protein_coding 2
ENST00000217428 ENSG00000101446 protein_coding 2
ENST00000217740 ENSG00000101695 protein_coding 16
ENST00000217961 ENSG00000101846 protein_coding 16
ENST00000217999 ENSG00000101883 protein_coding 7
ENST00000218006 ENSG00000101890 protein_coding 3
ENST00000218340 ENSG00000102218 protein_coding 16
ENST00000218652 ENSG00000102471 protein_coding 16
ENST00000218867 ENSG00000102683 protein_coding 10
ENST00000219139 ENSG00000125149 protein_coding 16
ENST00000219169 ENSG00000102898 protein_coding 16
ENST00000219207 ENSG00000102934 protein_coding 15
ENST00000219235 ENSG00000102962 protein_coding 5
ENST00000219240 ENSG00000102967 protein_coding 16
ENST00000219244 ENSG00000102970 protein_coding 4
ENST00000219252 ENSG00000102978 protein_coding 16
ENST00000219271 ENSG00000102996 protein_coding 15
ENST00000219313 ENSG00000103035 protein_coding 16
ENST00000219689 ENSG00000103404 protein_coding 16
ENST00000219700 ENSG00000103415 protein_coding 16
ENST00000220062 ENSG00000103710 protein_coding 14
ENST00000220325 ENSG00000103966 protein_coding 16
ENST00000220420 ENSG00000104055 protein_coding 2
ENST00000220507 ENSG00000104140 protein_coding 10
ENST00000220509 ENSG00000104142 protein_coding 16
ENST00000220659 ENSG00000104221 protein_coding 16
ENST00000220812 ENSG00000104371 protein_coding 1
ENST00000220853 ENSG00000104412 protein_coding 15
ENST00000220876 ENSG00000104435 protein_coding 5
ENST00000220940 ENSG00000104499 protein_coding 2
ENST00000221086 ENSG00000104643 protein_coding 16
ENST00000221233 ENSG00000077348 protein_coding 16
ENST00000221265 ENSG00000006712 protein_coding 16
ENST00000221307 ENSG00000186529 protein_coding 6
ENST00000221315 ENSG00000256087 protein_coding 16
ENST00000221347 ENSG00000090920 protein_coding 15
ENST00000221413 ENSG00000183207 protein_coding 14
ENST00000221418 ENSG00000104823 protein_coding 16
ENST00000221444 ENSG00000104848 protein_coding 3
ENST00000221476 ENSG00000104879 protein_coding 13
ENST00000221478 ENSG00000104881 protein_coding 16
ENST00000221480 ENSG00000104883 protein_coding 11
ENST00000221485 ENSG00000104888 protein_coding 11
ENST00000221486 ENSG00000104889 protein_coding 16
ENST00000221494 ENSG00000104897 protein_coding 16
ENST00000221496 ENSG00000104899 protein_coding 7
ENST00000221498 ENSG00000104901 protein_coding 2
ENST00000221538 ENSG00000104941 protein_coding 2
ENST00000221554 ENSG00000104957 protein_coding 16
ENST00000221566 ENSG00000104969 protein_coding 16
ENST00000221576 ENSG00000104979 protein_coding 16
ENST00000221665 ENSG00000179943 protein_coding 16
ENST00000221671 ENSG00000105072 protein_coding 16
ENST00000221700 ENSG00000186115 protein_coding 2
ENST00000221801 ENSG00000105202 protein_coding 16
ENST00000221804 ENSG00000105205 protein_coding 3
ENST00000221847 ENSG00000105246 protein_coding 15
ENST00000221852 ENSG00000105251 protein_coding 1
ENST00000221856 ENSG00000105255 protein_coding 5
ENST00000221859 ENSG00000105258 protein_coding 16
ENST00000221891 ENSG00000105290 protein_coding 11
ENST00000221930 ENSG00000105329 protein_coding 16
ENST00000221957 ENSG00000105355 protein_coding 16
ENST00000221973 ENSG00000105370 protein_coding 2
ENST00000221975 ENSG00000105372 protein_coding 16
ENST00000221978 ENSG00000105374 protein_coding 13
ENST00000221980 ENSG00000105376 protein_coding 5
ENST00000222002 ENSG00000105398 protein_coding 2
ENST00000222005 ENSG00000105401 protein_coding 16
ENST00000222008 ENSG00000105404 protein_coding 16
ENST00000222032 ENSG00000105427 protein_coding 6
ENST00000222120 ENSG00000105514 protein_coding 16
ENST00000222122 ENSG00000105516 protein_coding 15
ENST00000222139 ENSG00000187266 protein_coding 16
ENST00000222145 ENSG00000105538 protein_coding 15
ENST00000222157 ENSG00000105550 protein_coding 2
ENST00000222190 ENSG00000105583 protein_coding 16
ENST00000222219 ENSG00000105612 protein_coding 16
ENST00000222248 ENSG00000105641 protein_coding 4
ENST00000222249 ENSG00000105642 protein_coding 3
ENST00000222266 ENSG00000205155 protein_coding 16
ENST00000222284 ENSG00000105677 protein_coding 16
ENST00000222286 ENSG00000105679 protein_coding 14
ENST00000222304 ENSG00000105697 protein_coding 5
ENST00000222307 ENSG00000105700 protein_coding 16
ENST00000222329 ENSG00000105722 protein_coding 16
ENST00000222345 ENSG00000105738 protein_coding 16
ENST00000222374 ENSG00000105767 protein_coding 16
ENST00000222567 ENSG00000105849 protein_coding 16
ENST00000222574 ENSG00000105856 protein_coding 16
ENST00000222597 ENSG00000105879 protein_coding 16
ENST00000222598 ENSG00000105880 protein_coding 4
ENST00000222673 ENSG00000105953 protein_coding 16
ENST00000222690 ENSG00000105968 protein_coding 16
ENST00000222718 ENSG00000105996 protein_coding 12
ENST00000222747 ENSG00000106025 protein_coding 15
ENST00000222753 ENSG00000106031 protein_coding 3
ENST00000223273 ENSG00000241127 protein_coding 16
ENST00000223428 ENSG00000081386 protein_coding 16
ENST00000223864 ENSG00000107020 protein_coding 16
ENST00000223951 ENSG00000107105 protein_coding 2
ENST00000224073 ENSG00000107223 protein_coding 16
ENST00000224237 ENSG00000026025 protein_coding 15
ENST00000224600 ENSG00000107618 protein_coding 2
ENST00000225171 ENSG00000108176 protein_coding 14
ENST00000225174 ENSG00000108179 protein_coding 16
ENST00000225276 ENSG00000070731 protein_coding 16
ENST00000225296 ENSG00000005100 protein_coding 16
ENST00000225371 ENSG00000121053 protein_coding 8
ENST00000225387 ENSG00000108255 protein_coding 1
ENST00000225388 ENSG00000108256 protein_coding 16
ENST00000225402 ENSG00000108270 protein_coding 16
ENST00000225426 ENSG00000108294 protein_coding 16
ENST00000225428 ENSG00000108296 protein_coding 16
ENST00000225430 ENSG00000108298 protein_coding 12
ENST00000225504 ENSG00000213246 protein_coding 16
ENST00000225512 ENSG00000108379 protein_coding 8
ENST00000225519 ENSG00000197417 protein_coding 16
ENST00000225525 ENSG00000213977 protein_coding 16
ENST00000225538 ENSG00000108405 protein_coding 11
ENST00000225573 ENSG00000108439 protein_coding 16
ENST00000225655 ENSG00000108518 protein_coding 16
ENST00000225665 ENSG00000108528 protein_coding 15
ENST00000225688 ENSG00000108551 protein_coding 15
ENST00000225696 ENSG00000108559 protein_coding 16
ENST00000225698 ENSG00000108561 protein_coding 16
ENST00000225719 ENSG00000108582 protein_coding 16
ENST00000225728 ENSG00000108590 protein_coding 16
ENST00000225737 ENSG00000108599 protein_coding 16
ENST00000225742 ENSG00000108604 protein_coding 16
ENST00000225777 ENSG00000108639 protein_coding 16
ENST00000225805 ENSG00000108666 protein_coding 16
ENST00000225831 ENSG00000108691 protein_coding 16
ENST00000225844 ENSG00000181374 protein_coding 14
ENST00000225873 ENSG00000108733 protein_coding 16
ENST00000225899 ENSG00000108759 protein_coding 2
ENST00000225972 ENSG00000108829 protein_coding 16
ENST00000226004 ENSG00000108861 protein_coding 16
ENST00000226021 ENSG00000108878 protein_coding 4
ENST00000226067 ENSG00000108924 protein_coding 15
ENST00000226091 ENSG00000108947 protein_coding 12
ENST00000226209 ENSG00000109063 protein_coding 13
ENST00000226317 ENSG00000124875 protein_coding 8
ENST00000226355 ENSG00000079557 protein_coding 2
ENST00000226413 ENSG00000109163 protein_coding 2
ENST00000226524 ENSG00000109272 protein_coding 5
ENST00000227520 ENSG00000110104 protein_coding 11
ENST00000227918 ENSG00000110484 protein_coding 1
ENST00000228434 ENSG00000110848 protein_coding 14
ENST00000228437 ENSG00000110851 protein_coding 16
ENST00000228495 ENSG00000110906 protein_coding 16
ENST00000228515 ENSG00000110925 protein_coding 16
ENST00000228534 ENSG00000110944 protein_coding 13
ENST00000228641 ENSG00000111046 protein_coding 6
ENST00000228705 ENSG00000111110 protein_coding 15
ENST00000228741 ENSG00000111145 protein_coding 16
ENST00000228865 ENSG00000111269 protein_coding 16
ENST00000228872 ENSG00000111276 protein_coding 16
ENST00000229135 ENSG00000111537 protein_coding 5
ENST00000229214 ENSG00000111615 protein_coding 16
ENST00000229314 ENSG00000111711 protein_coding 16
ENST00000229387 ENSG00000111783 protein_coding 2
ENST00000229402 ENSG00000111796 protein_coding 9
ENST00000229595 ENSG00000111875 protein_coding 16
ENST00000229633 ENSG00000111911 protein_coding 16
ENST00000229708 ENSG00000111981 protein_coding 3
ENST00000229769 ENSG00000112039 protein_coding 15
ENST00000229812 ENSG00000112079 protein_coding 16
ENST00000229824 ENSG00000255587 protein_coding 5
ENST00000230053 ENSG00000112309 protein_coding 14
ENST00000230065 ENSG00000112320 protein_coding 14
ENST00000230122 ENSG00000112365 protein_coding 16
ENST00000230381 ENSG00000112619 protein_coding 12
ENST00000230431 ENSG00000112667 protein_coding 16
ENST00000230565 ENSG00000112796 protein_coding 15
ENST00000230568 ENSG00000112799 protein_coding 6
ENST00000230640 ENSG00000039123 protein_coding 16
ENST00000230671 ENSG00000011083 protein_coding 2
ENST00000230792 ENSG00000112874 protein_coding 16
ENST00000230859 ENSG00000112941 protein_coding 16
ENST00000231004 ENSG00000113083 protein_coding 14
ENST00000231009 ENSG00000113088 protein_coding 9
ENST00000231121 ENSG00000113196 protein_coding 3
ENST00000231130 ENSG00000113205 protein_coding 13
ENST00000231134 ENSG00000113209 protein_coding 13
ENST00000231173 ENSG00000113248 protein_coding 14
ENST00000231228 ENSG00000113302 protein_coding 2
ENST00000231357 ENSG00000113430 protein_coding 3
ENST00000231368 ENSG00000113441 protein_coding 16
ENST00000231512 ENSG00000113583 protein_coding 16
ENST00000231524 ENSG00000113595 protein_coding 16
ENST00000231721 ENSG00000010319 protein_coding 16
ENST00000232003 ENSG00000113905 protein_coding 2
ENST00000232424 ENSG00000114315 protein_coding 16
ENST00000232564 ENSG00000114450 protein_coding 16
ENST00000232888 ENSG00000114767 protein_coding 15
ENST00000232892 ENSG00000114771 protein_coding 5
ENST00000232905 ENSG00000114784 protein_coding 16
ENST00000232975 ENSG00000114854 protein_coding 8
ENST00000233027 ENSG00000114904 protein_coding 16
ENST00000233055 ENSG00000085449 protein_coding 16
ENST00000233057 ENSG00000055332 protein_coding 16
ENST00000233078 ENSG00000071626 protein_coding 16
ENST00000233084 ENSG00000079785 protein_coding 16
ENST00000233143 ENSG00000034510 protein_coding 16
ENST00000233156 ENSG00000003436 protein_coding 12
ENST00000233190 ENSG00000023228 protein_coding 16
ENST00000233468 ENSG00000115128 protein_coding 16
ENST00000233609 ENSG00000115268 protein_coding 11
ENST00000233735 ENSG00000115386 protein_coding 1
ENST00000233813 ENSG00000115461 protein_coding 15
ENST00000234160 ENSG00000115806 protein_coding 16
ENST00000234179 ENSG00000115825 protein_coding 12
ENST00000234256 ENSG00000115902 protein_coding 4
ENST00000234301 ENSG00000115944 protein_coding 13
ENST00000234310 ENSG00000221823 protein_coding 16
ENST00000234313 ENSG00000115956 protein_coding 16
ENST00000234347 ENSG00000196415 protein_coding 1
ENST00000234389 ENSG00000116032 protein_coding 7
ENST00000234392 ENSG00000116035 protein_coding 4
ENST00000234453 ENSG00000116095 protein_coding 16
ENST00000234454 ENSG00000116096 protein_coding 16
ENST00000234739 ENSG00000116128 protein_coding 16
ENST00000234827 ENSG00000116205 protein_coding 15
ENST00000234875 ENSG00000116251 protein_coding 16
ENST00000235090 ENSG00000116455 protein_coding 16
ENST00000235345 ENSG00000116704 protein_coding 16
ENST00000235382 ENSG00000116741 protein_coding 15
ENST00000235628 ENSG00000116981 protein_coding 6
ENST00000235835 ENSG00000053371 protein_coding 16
ENST00000236192 ENSG00000117533 protein_coding 16
ENST00000236273 ENSG00000117614 protein_coding 16
ENST00000236826 ENSG00000118113 protein_coding 4
ENST00000236979 ENSG00000118245 protein_coding 3
ENST00000236980 ENSG00000118246 protein_coding 16
ENST00000237014 ENSG00000118271 protein_coding 2
ENST00000237281 ENSG00000118496 protein_coding 16
ENST00000237380 ENSG00000118579 protein_coding 16
ENST00000237455 ENSG00000239305 protein_coding 16
ENST00000237536 ENSG00000149639 protein_coding 15
ENST00000237596 ENSG00000118762 protein_coding 16
ENST00000237654 ENSG00000118816 protein_coding 16
ENST00000237853 ENSG00000118985 protein_coding 16
ENST00000238497 ENSG00000119541 protein_coding 16
