# transcript_id	gene_id	transcript_biotype	number_of_samples_in_which_the_gene_is_expressed
ENST00000292823 ENSG00000161217 protein_coding 16
ENST00000292853 ENSG00000161243 protein_coding 7
ENST00000293190 ENSG00000161509 protein_coding 5
ENST00000293201 ENSG00000188126 protein_coding 16
ENST00000293217 ENSG00000161533 protein_coding 16
ENST00000293218 ENSG00000132478 protein_coding 16
ENST00000293230 ENSG00000161544 protein_coding 15
ENST00000293255 ENSG00000105507 protein_coding 3
ENST00000293275 ENSG00000161573 protein_coding 1
ENST00000293280 ENSG00000167236 protein_coding 7
ENST00000293328 ENSG00000173757 protein_coding 16
ENST00000293404 ENSG00000161653 protein_coding 12
ENST00000293406 ENSG00000161654 protein_coding 6
ENST00000293414 ENSG00000161664 protein_coding 14
ENST00000293443 ENSG00000161682 protein_coding 5
ENST00000293636 ENSG00000139610 protein_coding 4
ENST00000293670 ENSG00000170523 protein_coding 2
ENST00000293677 ENSG00000161847 protein_coding 16
ENST00000293695 ENSG00000161860 protein_coding 16
ENST00000293756 ENSG00000161896 protein_coding 9
ENST00000293761 ENSG00000161905 protein_coding 3
ENST00000293771 ENSG00000161914 protein_coding 13
ENST00000293777 ENSG00000161920 protein_coding 16
ENST00000293778 ENSG00000161921 protein_coding 16
ENST00000293780 ENSG00000108556 protein_coding 10
ENST00000293829 ENSG00000161958 protein_coding 14
ENST00000293842 ENSG00000161970 protein_coding 14
ENST00000293851 ENSG00000103355 protein_coding 2
ENST00000293860 ENSG00000161980 protein_coding 16
ENST00000293937 ENSG00000162040 protein_coding 1
ENST00000293981 ENSG00000162076 protein_coding 16
ENST00000294016 ENSG00000162104 protein_coding 16
ENST00000294117 ENSG00000162188 protein_coding 7
ENST00000294353 ENSG00000162378 protein_coding 16
ENST00000294360 ENSG00000162384 protein_coding 16
ENST00000294435 ENSG00000162444 protein_coding 16
ENST00000294485 ENSG00000162490 protein_coding 2
ENST00000294507 ENSG00000162511 protein_coding 16
ENST00000294671 ENSG00000213512 protein_coding 5
ENST00000294811 ENSG00000162757 protein_coding 16
ENST00000294818 ENSG00000162763 protein_coding 2
ENST00000294889 ENSG00000162817 protein_coding 16
ENST00000295082 ENSG00000162975 protein_coding 2
ENST00000295087 ENSG00000162980 protein_coding 16
ENST00000295108 ENSG00000162992 protein_coding 2
ENST00000295113 ENSG00000162998 protein_coding 15
ENST00000295228 ENSG00000163083 protein_coding 15
ENST00000295304 ENSG00000143942 protein_coding 16
ENST00000295324 ENSG00000163171 protein_coding 16
ENST00000295379 ENSG00000163217 protein_coding 2
ENST00000295417 ENSG00000163251 protein_coding 16
ENST00000295452 ENSG00000163285 protein_coding 5
ENST00000295569 ENSG00000163377 protein_coding 3
ENST00000295628 ENSG00000163428 protein_coding 16
ENST00000295633 ENSG00000163430 protein_coding 16
ENST00000295666 ENSG00000163453 protein_coding 16
ENST00000295683 ENSG00000163464 protein_coding 8
ENST00000295731 ENSG00000163501 protein_coding 5
ENST00000295743 ENSG00000163508 protein_coding 5
ENST00000295770 ENSG00000163527 protein_coding 16
ENST00000295833 ENSG00000115593 protein_coding 5
ENST00000295886 ENSG00000163623 protein_coding 2
ENST00000295902 ENSG00000163637 protein_coding 15
ENST00000295908 ENSG00000163644 protein_coding 16
ENST00000295927 ENSG00000163661 protein_coding 16
ENST00000296027 ENSG00000163735 protein_coding 8
ENST00000296028 ENSG00000163736 protein_coding 9
ENST00000296029 ENSG00000163737 protein_coding 5
ENST00000296046 ENSG00000163751 protein_coding 14
ENST00000296059 ENSG00000163762 protein_coding 15
ENST00000296096 ENSG00000163792 protein_coding 3
ENST00000296099 ENSG00000163794 protein_coding 1
ENST00000296140 ENSG00000163823 protein_coding 16
ENST00000296142 ENSG00000163825 protein_coding 4
ENST00000296161 ENSG00000163840 protein_coding 16
ENST00000296215 ENSG00000163877 protein_coding 16
ENST00000296220 ENSG00000144909 protein_coding 16
ENST00000296233 ENSG00000163884 protein_coding 15
ENST00000296318 ENSG00000144730 protein_coding 13
ENST00000296328 ENSG00000163960 protein_coding 16
ENST00000296412 ENSG00000197894 protein_coding 16
ENST00000296435 ENSG00000164047 protein_coding 6
ENST00000296452 ENSG00000164061 protein_coding 2
ENST00000296483 ENSG00000164086 protein_coding 3
ENST00000296490 ENSG00000164091 protein_coding 16
ENST00000296504 ENSG00000164105 protein_coding 16
ENST00000296506 ENSG00000164106 protein_coding 10
ENST00000296511 ENSG00000164111 protein_coding 16
ENST00000296564 ENSG00000164151 protein_coding 16
ENST00000296577 ENSG00000164163 protein_coding 16
ENST00000296585 ENSG00000164171 protein_coding 15
ENST00000296603 ENSG00000164187 protein_coding 16
ENST00000296641 ENSG00000164220 protein_coding 3
ENST00000296666 ENSG00000164244 protein_coding 16
ENST00000296674 ENSG00000186468 protein_coding 16
ENST00000296755 ENSG00000131711 protein_coding 15
ENST00000296824 ENSG00000164366 protein_coding 16
ENST00000296839 ENSG00000164379 protein_coding 9
ENST00000296871 ENSG00000164400 protein_coding 2
ENST00000296978 ENSG00000164484 protein_coding 6
ENST00000297001 ENSG00000164500 protein_coding 2
ENST00000297145 ENSG00000164603 protein_coding 16
ENST00000297203 ENSG00000164645 protein_coding 2
ENST00000297210 ENSG00000164651 protein_coding 3
ENST00000297265 ENSG00000164695 protein_coding 13
ENST00000297293 ENSG00000164715 protein_coding 16
ENST00000297316 ENSG00000164736 protein_coding 15
ENST00000297324 ENSG00000164743 protein_coding 12
ENST00000297338 ENSG00000164754 protein_coding 16
ENST00000297354 ENSG00000164764 protein_coding 13
ENST00000297375 ENSG00000164778 protein_coding 3
ENST00000297435 ENSG00000164821 protein_coding 4
ENST00000297439 ENSG00000164825 protein_coding 6
ENST00000297459 ENSG00000164841 protein_coding 8
ENST00000297598 ENSG00000164951 protein_coding 11
ENST00000297625 ENSG00000164976 protein_coding 15
ENST00000297632 ENSG00000164983 protein_coding 16
ENST00000297792 ENSG00000165097 protein_coding 16
ENST00000297819 ENSG00000165120 protein_coding 2
ENST00000298049 ENSG00000101210 protein_coding 9
ENST00000298097 ENSG00000165355 protein_coding 16
ENST00000298130 ENSG00000165389 protein_coding 16
ENST00000298248 ENSG00000165475 protein_coding 11
ENST00000298251 ENSG00000165478 protein_coding 3
ENST00000298283 ENSG00000165496 protein_coding 2
ENST00000298289 ENSG00000165502 protein_coding 14
ENST00000298295 ENSG00000165507 protein_coding 15
ENST00000298298 ENSG00000165511 protein_coding 14
ENST00000298299 ENSG00000165512 protein_coding 16
ENST00000298316 ENSG00000165527 protein_coding 16
ENST00000298352 ENSG00000165553 protein_coding 3
ENST00000298406 ENSG00000139977 protein_coding 16
ENST00000298492 ENSG00000165660 protein_coding 16
ENST00000298530 ENSG00000165685 protein_coding 1
ENST00000298532 ENSG00000165684 protein_coding 15
ENST00000298585 ENSG00000165724 protein_coding 16
ENST00000298681 ENSG00000165794 protein_coding 2
ENST00000298743 ENSG00000180447 protein_coding 15
ENST00000298746 ENSG00000165832 protein_coding 16
ENST00000298875 ENSG00000165934 protein_coding 16
ENST00000298894 ENSG00000165943 protein_coding 8
ENST00000299084 ENSG00000166068 protein_coding 16
ENST00000299164 ENSG00000166106 protein_coding 12
ENST00000299174 ENSG00000166143 protein_coding 2
ENST00000299178 ENSG00000166148 protein_coding 16
ENST00000299192 ENSG00000155393 protein_coding 16
ENST00000299237 ENSG00000166188 protein_coding 16
ENST00000299238 ENSG00000166189 protein_coding 16
ENST00000299290 ENSG00000166220 protein_coding 1
ENST00000299299 ENSG00000166228 protein_coding 16
ENST00000299335 ENSG00000166260 protein_coding 16
ENST00000299340 ENSG00000166265 protein_coding 15
ENST00000299413 ENSG00000166326 protein_coding 16
ENST00000299415 ENSG00000166329 protein_coding 2
ENST00000299481 ENSG00000158077 protein_coding 3
ENST00000299505 ENSG00000166398 protein_coding 16
ENST00000299563 ENSG00000166439 protein_coding 16
ENST00000299608 ENSG00000166479 protein_coding 16
ENST00000299633 ENSG00000166503 protein_coding 16
ENST00000299687 ENSG00000215421 protein_coding 16
ENST00000299714 ENSG00000166562 protein_coding 16
ENST00000299727 ENSG00000166573 protein_coding 3
ENST00000299766 ENSG00000166603 protein_coding 2
ENST00000299886 ENSG00000166685 protein_coding 16
ENST00000299977 ENSG00000166750 protein_coding 16
ENST00000299997 ENSG00000166770 protein_coding 12
ENST00000300026 ENSG00000166794 protein_coding 8
ENST00000300061 ENSG00000166828 protein_coding 6
ENST00000300086 ENSG00000166848 protein_coding 16
ENST00000300098 ENSG00000166856 protein_coding 10
ENST00000300101 ENSG00000166860 protein_coding 16
ENST00000300105 ENSG00000166862 protein_coding 1
ENST00000300113 ENSG00000166869 protein_coding 3
ENST00000300146 ENSG00000166889 protein_coding 16
ENST00000300151 ENSG00000166902 protein_coding 16
ENST00000300177 ENSG00000166923 protein_coding 13
ENST00000300226 ENSG00000166959 protein_coding 5
ENST00000300332 ENSG00000167034 protein_coding 16
ENST00000300413 ENSG00000167088 protein_coding 16
ENST00000300504 ENSG00000167139 protein_coding 1
ENST00000300527 ENSG00000142173 protein_coding 16
ENST00000300557 ENSG00000167183 protein_coding 12
ENST00000300574 ENSG00000167193 protein_coding 16
ENST00000300605 ENSG00000167220 protein_coding 16
ENST00000300619 ENSG00000167232 protein_coding 14
ENST00000300688 ENSG00000167283 protein_coding 16
ENST00000300714 ENSG00000167302 protein_coding 16
ENST00000300737 ENSG00000167323 protein_coding 16
ENST00000300784 ENSG00000167363 protein_coding 16
ENST00000300870 ENSG00000185947 protein_coding 16
ENST00000300900 ENSG00000167434 protein_coding 14
ENST00000300935 ENSG00000167461 protein_coding 16
ENST00000300952 ENSG00000167470 protein_coding 16
ENST00000300961 ENSG00000167476 protein_coding 7
ENST00000300976 ENSG00000167487 protein_coding 16
ENST00000301073 ENSG00000171443 protein_coding 16
ENST00000301141 ENSG00000255974 protein_coding 2
ENST00000301159 ENSG00000188223 protein_coding 15
ENST00000301175 ENSG00000250799 protein_coding 4
ENST00000301180 ENSG00000066084 protein_coding 16
ENST00000301204 ENSG00000167619 protein_coding 3
ENST00000301264 ENSG00000167657 protein_coding 16
ENST00000301272 ENSG00000167664 protein_coding 5
ENST00000301280 ENSG00000167670 protein_coding 16
ENST00000301284 ENSG00000167674 protein_coding 16
ENST00000301286 ENSG00000167676 protein_coding 15
ENST00000301293 ENSG00000167680 protein_coding 15
ENST00000301310 ENSG00000018869 protein_coding 16
ENST00000301318 ENSG00000196867 protein_coding 16
ENST00000301336 ENSG00000167705 protein_coding 16
ENST00000301391 ENSG00000167740 protein_coding 16
ENST00000301395 ENSG00000167741 protein_coding 5
ENST00000301411 ENSG00000167744 protein_coding 5
ENST00000301439 ENSG00000167765 protein_coding 9
ENST00000301452 ENSG00000167769 protein_coding 4
ENST00000301457 ENSG00000167774 protein_coding 16
ENST00000301480 ENSG00000198028 protein_coding 2
ENST00000301585 ENSG00000167862 protein_coding 16
ENST00000301599 ENSG00000167874 protein_coding 16
ENST00000301607 ENSG00000167880 protein_coding 9
ENST00000301634 ENSG00000167900 protein_coding 14
ENST00000301659 ENSG00000167914 protein_coding 4
ENST00000301691 ENSG00000167941 protein_coding 2
ENST00000301698 ENSG00000167945 protein_coding 2
ENST00000301738 ENSG00000167977 protein_coding 16
ENST00000301744 ENSG00000167981 protein_coding 16
ENST00000301765 ENSG00000167987 protein_coding 16
ENST00000301785 ENSG00000214753 protein_coding 16
ENST00000301825 ENSG00000168032 protein_coding 13
ENST00000301838 ENSG00000168040 protein_coding 16
ENST00000301904 ENSG00000168077 protein_coding 14
ENST00000301905 ENSG00000168078 protein_coding 5
ENST00000301919 ENSG00000170903 protein_coding 16
ENST00000301944 ENSG00000171773 protein_coding 2
ENST00000302000 ENSG00000171016 protein_coding 14
ENST00000302005 ENSG00000169271 protein_coding 12
ENST00000302006 ENSG00000170549 protein_coding 6
ENST00000302118 ENSG00000169174 protein_coding 2
ENST00000302165 ENSG00000170604 protein_coding 16
ENST00000302177 ENSG00000170608 protein_coding 7
ENST00000302277 ENSG00000170396 protein_coding 5
ENST00000302326 ENSG00000169184 protein_coding 14
ENST00000302362 ENSG00000172301 protein_coding 10
ENST00000302386 ENSG00000170296 protein_coding 16
ENST00000302392 ENSG00000169964 protein_coding 9
ENST00000302418 ENSG00000170759 protein_coding 16
ENST00000302422 ENSG00000205544 protein_coding 16
ENST00000302451 ENSG00000169340 protein_coding 3
ENST00000302495 ENSG00000169495 protein_coding 6
ENST00000302503 ENSG00000109919 protein_coding 16
ENST00000302541 ENSG00000170011 protein_coding 11
ENST00000302550 ENSG00000121644 protein_coding 16
ENST00000302609 ENSG00000175395 protein_coding 16
ENST00000302625 ENSG00000171450 protein_coding 2
ENST00000302692 ENSG00000171612 protein_coding 16
ENST00000302754 ENSG00000171223 protein_coding 16
ENST00000302764 ENSG00000170584 protein_coding 16
ENST00000302787 ENSG00000168924 protein_coding 16
ENST00000302926 ENSG00000169992 protein_coding 15
ENST00000303004 ENSG00000172216 protein_coding 16
ENST00000303052 ENSG00000169118 protein_coding 16
ENST00000303061 ENSG00000168597 protein_coding 15
ENST00000303077 ENSG00000170577 protein_coding 10
ENST00000303130 ENSG00000170647 protein_coding 15
ENST00000303151 ENSG00000172336 protein_coding 16
ENST00000303212 ENSG00000171119 protein_coding 8
ENST00000303230 ENSG00000164588 protein_coding 2
ENST00000303319 ENSG00000168288 protein_coding 16
ENST00000303407 ENSG00000169925 protein_coding 16
ENST00000303469 ENSG00000171806 protein_coding 16
ENST00000303538 ENSG00000121892 protein_coding 16
ENST00000303545 ENSG00000170881 protein_coding 16
ENST00000303577 ENSG00000169564 protein_coding 16
ENST00000303592 ENSG00000168135 protein_coding 4
ENST00000303596 ENSG00000168286 protein_coding 16
ENST00000303714 ENSG00000169604 protein_coding 15
ENST00000303790 ENSG00000170049 protein_coding 11
ENST00000303846 ENSG00000170374 protein_coding 1
ENST00000303910 ENSG00000168274 protein_coding 14
ENST00000303921 ENSG00000170775 protein_coding 10
ENST00000303924 ENSG00000170961 protein_coding 12
ENST00000303991 ENSG00000169258 protein_coding 2
ENST00000304031 ENSG00000118960 protein_coding 16
ENST00000304046 ENSG00000172057 protein_coding 16
ENST00000304056 ENSG00000170852 protein_coding 16
ENST00000304116 ENSG00000196357 protein_coding 5
ENST00000304141 ENSG00000168497 protein_coding 16
ENST00000304166 ENSG00000078549 protein_coding 12
ENST00000304191 ENSG00000169612 protein_coding 14
ENST00000304218 ENSG00000168298 protein_coding 5
ENST00000304222 ENSG00000170425 protein_coding 12
ENST00000304244 ENSG00000170128 protein_coding 2
ENST00000304301 ENSG00000168101 protein_coding 3
ENST00000304337 ENSG00000169989 protein_coding 7
ENST00000304402 ENSG00000172209 protein_coding 2
ENST00000304411 ENSG00000170837 protein_coding 14
ENST00000304414 ENSG00000170540 protein_coding 16
ENST00000304434 ENSG00000012660 protein_coding 16
ENST00000304477 ENSG00000171794 protein_coding 3
ENST00000304478 ENSG00000171861 protein_coding 16
ENST00000304501 ENSG00000171056 protein_coding 15
ENST00000304506 ENSG00000169194 protein_coding 1
ENST00000304611 ENSG00000124587 protein_coding 16
ENST00000304625 ENSG00000169385 protein_coding 8
ENST00000304639 ENSG00000169397 protein_coding 4
ENST00000304677 ENSG00000169413 protein_coding 16
ENST00000304698 ENSG00000144369 protein_coding 14
ENST00000304710 ENSG00000170367 protein_coding 2
ENST00000304735 ENSG00000168140 protein_coding 15
ENST00000304748 ENSG00000171051 protein_coding 16
ENST00000304788 ENSG00000170191 protein_coding 16
ENST00000304883 ENSG00000169836 protein_coding 2
ENST00000304916 ENSG00000168672 protein_coding 15
ENST00000304987 ENSG00000170145 protein_coding 16
ENST00000304992 ENSG00000174231 protein_coding 16
ENST00000305031 ENSG00000198108 protein_coding 13
ENST00000305097 ENSG00000169860 protein_coding 15
ENST00000305123 ENSG00000169047 protein_coding 16
ENST00000305141 ENSG00000171596 protein_coding 8
ENST00000305208 ENSG00000241635 protein_coding 3
ENST00000305249 ENSG00000115353 protein_coding 8
ENST00000305253 ENSG00000166402 protein_coding 15
ENST00000305273 ENSG00000168260 protein_coding 4
ENST00000305352 ENSG00000170989 protein_coding 16
ENST00000305386 ENSG00000168282 protein_coding 16
ENST00000305409 ENSG00000171951 protein_coding 7
ENST00000305428 ENSG00000169330 protein_coding 2
ENST00000305479 ENSG00000168634 protein_coding 4
ENST00000305513 ENSG00000186532 protein_coding 16
ENST00000305596 ENSG00000169217 protein_coding 16
ENST00000305626 ENSG00000172007 protein_coding 16
ENST00000305641 ENSG00000168806 protein_coding 16
ENST00000305738 ENSG00000171053 protein_coding 2
ENST00000305768 ENSG00000121289 protein_coding 15
ENST00000305786 ENSG00000172115 protein_coding 16
ENST00000305817 ENSG00000171864 protein_coding 4
ENST00000305869 ENSG00000172156 protein_coding 6
ENST00000305910 ENSG00000256018 protein_coding 2
ENST00000305978 ENSG00000171222 protein_coding 16
ENST00000305988 ENSG00000169252 protein_coding 16
ENST00000305991 ENSG00000170290 protein_coding 4
ENST00000306024 ENSG00000170860 protein_coding 16
ENST00000306030 ENSG00000048471 protein_coding 12
ENST00000306049 ENSG00000172171 protein_coding 16
ENST00000306051 ENSG00000168229 protein_coding 8
ENST00000306065 ENSG00000105186 protein_coding 16
ENST00000306071 ENSG00000170175 protein_coding 16
ENST00000306077 ENSG00000170876 protein_coding 16
ENST00000306096 ENSG00000168461 protein_coding 16
ENST00000306117 ENSG00000124134 protein_coding 4
ENST00000306176 ENSG00000170044 protein_coding 2
ENST00000306177 ENSG00000106346 protein_coding 16
ENST00000306193 ENSG00000145439 protein_coding 16
ENST00000306247 ENSG00000168404 protein_coding 16
ENST00000306357 ENSG00000170310 protein_coding 16
ENST00000306384 ENSG00000168899 protein_coding 16
ENST00000306406 ENSG00000171227 protein_coding 15
ENST00000306442 ENSG00000168938 protein_coding 15
ENST00000306480 ENSG00000170088 protein_coding 16
ENST00000306503 ENSG00000171150 protein_coding 16
ENST00000306562 ENSG00000171161 protein_coding 16
ENST00000306593 ENSG00000242419 protein_coding 2
ENST00000306602 ENSG00000169245 protein_coding 12
ENST00000306621 ENSG00000169248 protein_coding 7
ENST00000306675 ENSG00000170214 protein_coding 12
ENST00000306688 ENSG00000169683 protein_coding 14
ENST00000306708 ENSG00000171017 protein_coding 3
ENST00000306749 ENSG00000169710 protein_coding 16
ENST00000306773 ENSG00000171246 protein_coding 5
ENST00000306851 ENSG00000118276 protein_coding 15
ENST00000306858 ENSG00000168143 protein_coding 5
ENST00000306869 ENSG00000169738 protein_coding 16
ENST00000306875 ENSG00000213380 protein_coding 16
ENST00000306897 ENSG00000169750 protein_coding 8
ENST00000306928 ENSG00000169006 protein_coding 2
ENST00000306954 ENSG00000170270 protein_coding 16
ENST00000306960 ENSG00000168539 protein_coding 3
ENST00000306984 ENSG00000168303 protein_coding 16
ENST00000306999 ENSG00000106524 protein_coding 16
ENST00000307128 ENSG00000172399 protein_coding 9
ENST00000307144 ENSG00000171989 protein_coding 3
ENST00000307145 ENSG00000169926 protein_coding 16
ENST00000307169 ENSG00000168348 protein_coding 2
ENST00000307194 ENSG00000213203 protein_coding 16
ENST00000307201 ENSG00000168792 protein_coding 16
ENST00000307221 ENSG00000172404 protein_coding 5
ENST00000307271 ENSG00000171115 protein_coding 16
ENST00000307275 ENSG00000168517 protein_coding 16
ENST00000307358 ENSG00000170801 protein_coding 14
ENST00000307365 ENSG00000168209 protein_coding 16
ENST00000307366 ENSG00000168569 protein_coding 16
ENST00000307395 ENSG00000169704 protein_coding 2
ENST00000307407 ENSG00000169429 protein_coding 15
ENST00000307417 ENSG00000172350 protein_coding 2
ENST00000307584 ENSG00000170681 protein_coding 8
ENST00000307616 ENSG00000171987 protein_coding 2
ENST00000307624 ENSG00000172497 protein_coding 2
ENST00000307630 ENSG00000170027 protein_coding 16
ENST00000307635 ENSG00000172000 protein_coding 4
ENST00000307637 ENSG00000171860 protein_coding 16
ENST00000307658 ENSG00000186272 protein_coding 16
ENST00000307741 ENSG00000172009 protein_coding 16
ENST00000307745 ENSG00000171282 protein_coding 16
ENST00000307750 ENSG00000168795 protein_coding 16
ENST00000307751 ENSG00000171747 protein_coding 8
ENST00000307768 ENSG00000171135 protein_coding 16
ENST00000307844 ENSG00000174448 protein_coding 3
ENST00000307845 ENSG00000115756 protein_coding 16
ENST00000307851 ENSG00000135077 protein_coding 16
ENST00000308027 ENSG00000174327 protein_coding 14
ENST00000308031 ENSG00000196263 protein_coding 14
ENST00000308177 ENSG00000240184 protein_coding 15
ENST00000308234 ENSG00000174136 protein_coding 16
ENST00000308302 ENSG00000174567 protein_coding 6
ENST00000308330 ENSG00000174106 protein_coding 16
ENST00000308418 ENSG00000172922 protein_coding 16
ENST00000308423 ENSG00000131471 protein_coding 15
ENST00000308580 ENSG00000138594 protein_coding 16
ENST00000308588 ENSG00000169371 protein_coding 9
ENST00000308641 ENSG00000173627 protein_coding 3
ENST00000308650 ENSG00000196110 protein_coding 14
ENST00000308666 ENSG00000173208 protein_coding 12
ENST00000308683 ENSG00000173545 protein_coding 16
ENST00000308799 ENSG00000171931 protein_coding 1
ENST00000308831 ENSG00000173156 protein_coding 14
ENST00000308855 ENSG00000129195 protein_coding 1
ENST00000308868 ENSG00000174697 protein_coding 7
ENST00000308961 ENSG00000174886 protein_coding 16
ENST00000308964 ENSG00000173581 protein_coding 16
ENST00000308986 ENSG00000143851 protein_coding 2
ENST00000309042 ENSG00000084093 protein_coding 16
ENST00000309061 ENSG00000141994 protein_coding 16
ENST00000309134 ENSG00000175348 protein_coding 16
ENST00000309285 ENSG00000173578 protein_coding 3
ENST00000309305 ENSG00000175322 protein_coding 7
ENST00000309311 ENSG00000167658 protein_coding 16
ENST00000309324 ENSG00000174917 protein_coding 16
ENST00000309384 ENSG00000183542 protein_coding 3
ENST00000309395 ENSG00000173542 protein_coding 16
ENST00000309424 ENSG00000117877 protein_coding 6
ENST00000309428 ENSG00000141699 protein_coding 16
ENST00000309447 ENSG00000174145 protein_coding 5
ENST00000309495 ENSG00000175105 protein_coding 16
ENST00000309558 ENSG00000173705 protein_coding 14
ENST00000309575 ENSG00000175040 protein_coding 16
ENST00000309594 ENSG00000173141 protein_coding 16
ENST00000309649 ENSG00000118518 protein_coding 15
ENST00000309668 ENSG00000175189 protein_coding 3
ENST00000309680 ENSG00000172867 protein_coding 2
ENST00000309733 ENSG00000174749 protein_coding 16
ENST00000309755 ENSG00000146021 protein_coding 15
ENST00000309765 ENSG00000173769 protein_coding 2
ENST00000309775 ENSG00000173727 protein_coding 11
ENST00000309822 ENSG00000147679 protein_coding 16
ENST00000309880 ENSG00000173825 protein_coding 4
ENST00000309889 ENSG00000173991 protein_coding 13
ENST00000309922 ENSG00000174173 protein_coding 16
ENST00000309931 ENSG00000123977 protein_coding 3
ENST00000309950 ENSG00000163331 protein_coding 6
ENST00000309964 ENSG00000134852 protein_coding 16
ENST00000309971 ENSG00000119392 protein_coding 16
ENST00000309983 ENSG00000137364 protein_coding 16
ENST00000309993 ENSG00000174579 protein_coding 16
ENST00000310053 ENSG00000071794 protein_coding 16
ENST00000310085 ENSG00000173013 protein_coding 13
ENST00000310144 ENSG00000087191 protein_coding 16
ENST00000310164 ENSG00000174460 protein_coding 6
ENST00000310193 ENSG00000172817 protein_coding 15
ENST00000310226 ENSG00000172782 protein_coding 2
ENST00000310227 ENSG00000173404 protein_coding 3
ENST00000310248 ENSG00000172640 protein_coding 2
ENST00000310331 ENSG00000243056 protein_coding 15
ENST00000310421 ENSG00000175073 protein_coding 16
ENST00000310430 ENSG00000173273 protein_coding 16
ENST00000310447 ENSG00000106144 protein_coding 16
ENST00000310455 ENSG00000173281 protein_coding 16
ENST00000310496 ENSG00000169733 protein_coding 16
ENST00000310542 ENSG00000173295 protein_coding 7
ENST00000310597 ENSG00000174276 protein_coding 16
ENST00000310754 ENSG00000174599 protein_coding 12
ENST00000310791 ENSG00000174236 protein_coding 12
ENST00000310823 ENSG00000151694 protein_coding 16
ENST00000310827 ENSG00000136485 protein_coding 16
ENST00000310837 ENSG00000173812 processed_transcript 16
ENST00000310954 ENSG00000173930 protein_coding 7
ENST00000310992 ENSG00000174595 protein_coding 4
ENST00000311044 ENSG00000174586 protein_coding 13
ENST00000311048 ENSG00000196705 protein_coding 13
ENST00000311069 ENSG00000174788 protein_coding 7
ENST00000311127 ENSG00000173706 protein_coding 16
ENST00000311141 ENSG00000100711 protein_coding 10
ENST00000311180 ENSG00000174840 protein_coding 16
ENST00000311181 ENSG00000174684 protein_coding 16
ENST00000311227 ENSG00000074219 protein_coding 16
ENST00000311277 ENSG00000164114 protein_coding 14
ENST00000311308 ENSG00000174521 protein_coding 11
ENST00000311330 ENSG00000174807 protein_coding 16
ENST00000311378 ENSG00000173714 protein_coding 4
ENST00000311413 ENSG00000173456 protein_coding 16
ENST00000311417 ENSG00000172667 protein_coding 16
ENST00000311437 ENSG00000188033 protein_coding 16
ENST00000311506 ENSG00000087995 protein_coding 1
ENST00000311575 ENSG00000174721 protein_coding 13
ENST00000311620 ENSG00000175311 protein_coding 3
ENST00000311637 ENSG00000054793 protein_coding 16
ENST00000311668 ENSG00000174292 protein_coding 15
ENST00000311755 ENSG00000175202 protein_coding 2
ENST00000311806 ENSG00000172939 protein_coding 16
ENST00000311895 ENSG00000175595 protein_coding 16
ENST00000311922 ENSG00000173334 protein_coding 16
ENST00000311936 ENSG00000133703 protein_coding 16
ENST00000311955 ENSG00000174429 protein_coding 8
ENST00000311956 ENSG00000175220 protein_coding 16
ENST00000312006 ENSG00000175229 protein_coding 3
ENST00000312010 ENSG00000055483 protein_coding 16
ENST00000312019 ENSG00000175604 protein_coding 5
ENST00000312026 ENSG00000173480 protein_coding 10
ENST00000312051 ENSG00000105176 protein_coding 16
ENST00000312134 ENSG00000175315 protein_coding 2
ENST00000312233 ENSG00000174332 protein_coding 5
ENST00000312234 ENSG00000175376 protein_coding 16
ENST00000312295 ENSG00000175077 protein_coding 2
ENST00000312316 ENSG00000137094 protein_coding 3
ENST00000312349 ENSG00000172568 protein_coding 2
ENST00000312371 ENSG00000174945 protein_coding 2
ENST00000312423 ENSG00000173928 protein_coding 15
ENST00000312511 ENSG00000175646 protein_coding 3
ENST00000312547 ENSG00000130724 protein_coding 16
ENST00000312579 ENSG00000175602 protein_coding 16
ENST00000312584 ENSG00000173530 protein_coding 15
ENST00000312648 ENSG00000173762 protein_coding 8
ENST00000312655 ENSG00000175155 protein_coding 16
ENST00000312678 ENSG00000006125 protein_coding 16
ENST00000312814 ENSG00000146802 protein_coding 16
ENST00000312828 ENSG00000176641 protein_coding 15
ENST00000312891 ENSG00000176402 protein_coding 12
ENST00000312916 ENSG00000164252 protein_coding 16
ENST00000312938 ENSG00000066422 protein_coding 16
ENST00000312960 ENSG00000181788 protein_coding 16
ENST00000313071 ENSG00000176165 protein_coding 4
ENST00000313182 ENSG00000138614 protein_coding 16
ENST00000313213 ENSG00000176732 protein_coding 1
ENST00000313266 ENSG00000175892 protein_coding 9
ENST00000313341 ENSG00000178403 protein_coding 2
ENST00000313368 ENSG00000178913 protein_coding 16
ENST00000313401 ENSG00000176749 protein_coding 15
ENST00000313426 ENSG00000176659 protein_coding 3
ENST00000313543 ENSG00000179144 protein_coding 16
ENST00000313608 ENSG00000181610 protein_coding 16
ENST00000313639 ENSG00000105325 protein_coding 16
ENST00000313655 ENSG00000136982 protein_coding 13
ENST00000313833 ENSG00000178974 protein_coding 16
ENST00000313851 ENSG00000179813 protein_coding 7
ENST00000314011 ENSG00000125945 protein_coding 16
ENST00000314018 ENSG00000180535 protein_coding 4
ENST00000314040 ENSG00000176515 protein_coding 3
ENST00000314088 ENSG00000180573 protein_coding 16
ENST00000314133 ENSG00000176340 protein_coding 16
